Gender	Reason	Methodology	count_sum
Female	Stalking	Hanging	2.0
Female	Family feud	Jumped	1.0
Female	Family feud	-	1.0
Male	Family feud	-	1.0
Male	Mental disorder	Hanging	2.0
Female	Family fued	Burning	1.0
Female	-	Jumped	1.0
Female	-	-	1.0
Male	Personal problem	Jumping off building	1.0
Male	Family feud	slitting throat	1.0
Male	Financial problem	Jumping off building	1.0
Male	being arrested for alleged involvement with a robbery	strangulating	1.0
Female	Family feud ; Financial problems	Hanging	1.0
Female	Quarrel with spouse	Jumping off building	1.0
Female	Sexually abused	Hanging	2.0
Female	Not given	Hanging	1.0
Female	Family feud/mental patient	Jumped under running train	1.0
Female	Family feud	Not mentioned	1.0
Male	Family Feud	Hanging	1.0
Female	Financial problem	Hanging	1.0
Male	Not mentioned	Hanging	1.0
Male	Mental disorder	Jumping off	2.0
Male	Mental stress	Hanging	1.0
Male	Mental disorder	Train	1.0
Female	Family feud	Jumping off	1.0
Female	Quarrel with husband	Hanging	1.0
Male	Marital problem	Poison	1.0
Female	Bad result	Hanging	1.0
Female	Marital problem	Poison	1.0
Male	Business loss	Shooting	1.0
Female	family feud	Poison	1.0
Female	not given	Jumped under running train	1.0
Female	Raped	Hanging	1.0
Female	Family Feud	Hanging	1.0
Female	family feud	Hanging	3.0
Male	Family feud	Train	1.0
Male	imitating suicide	Hanging	1.0
Male	family feud	Hanging	3.0
Female	not given	Bus	1.0
Male	Humiliation	poison	1.0
Male	family feud	Poison	1.0
Female	torture	Hanging	1.0
